heart_rate,spo2,temperature,humidity,noise,light,vibration,timestamp,hour,day_of_week,stress_index,env_risk,label
121,96,37.2,81,93,116,6,2026-03-22 11:03:00,11,6,151.1,203.2,1
69,93,38.7,73,58,554,78,2026-03-22 11:04:00,11,6,118.1,265.3,1
113,99,36.7,56,89,142,65,2026-03-22 11:05:00,11,6,155.9,192.1,1
60,85,36.6,67,43,402,23,2026-03-22 11:06:00,11,6,98.9,217.2,1
84,99,39.9,76,34,454,77,2026-03-22 11:07:00,11,6,108.8,232.4,1
126,95,39.6,63,85,486,46,2026-03-22 11:08:00,11,6,164.6,267.4,1
115,88,37.6,82,86,316,61,2026-03-22 11:09:00,11,6,171.3,239.6,1
109,85,36.0,36,70,533,16,2026-03-22 11:10:00,11,6,149.5,245.6,1
64,99,36.3,82,91,196,67,2026-03-22 11:11:00,11,6,118.3,216.5,1
93,99,39.0,85,46,540,23,2026-03-22 11:12:00,11,6,105.8,260.7,1
81,88,36.1,35,45,137,42,2026-03-22 11:13:00,11,6,117.9,148.6,1
95,97,38.0,34,95,248,8,2026-03-22 11:14:00,11,6,130.4,209.1,1
81,90,37.4,39,30,403,9,2026-03-22 11:15:00,11,6,97.5,195.9,1
122,89,38.0,70,84,277,48,2026-03-22 11:16:00,11,6,170.5,225.2,1
102,99,38.6,72,59,409,68,2026-03-22 11:17:00,11,6,133.0,236.3,1
96,89,37.1,69,48,249,5,2026-03-22 11:18:00,11,6,118.8,192.1,1
75,86,37.5,87,76,219,5,2026-03-22 11:19:00,11,6,120.5,215.5,1
120,94,38.0,35,73,265,72,2026-03-22 11:20:00,11,6,163.1,197.6,1
65,91,38.7,48,56,454,21,2026-03-22 11:21:00,11,6,99.8,231.4,1
102,93,36.4,34,98,594,70,2026-03-22 11:22:00,11,6,162.1,277.2,1
87,86,36.9,67,63,186,51,2026-03-22 11:23:00,11,6,137.4,188.6,1
62,95,35.8,88,97,108,30,2026-03-22 11:24:00,11,6,114.6,205.1,1
113,88,36.9,47,39,181,79,2026-03-22 11:25:00,11,6,151.6,160.8,1
117,89,37.6,60,54,472,37,2026-03-22 11:26:00,11,6,148.2,237.4,1
93,88,39.6,76,53,348,53,2026-03-22 11:27:00,11,6,134.8,223.9,1
69,90,39.7,56,35,430,7,2026-03-22 11:28:00,11,6,89.8,217.9,1
109,86,39.3,40,63,221,55,2026-03-22 11:29:00,11,6,156.2,186.9,1
102,91,40.0,88,80,425,42,2026-03-22 11:30:00,11,6,147.7,265.0,1
129,85,39.9,45,79,515,55,2026-03-22 11:31:00,11,6,181.7,260.6,1
125,87,39.7,78,61,206,27,2026-03-22 11:32:00,11,6,158.1,202.3,1
61,86,37.3,57,60,327,40,2026-03-22 11:33:00,11,6,111.8,210.5,1
63,89,36.1,81,48,219,6,2026-03-22 11:34:00,11,6,92.7,190.1,1
60,91,37.9,50,65,595,45,2026-03-22 11:35:00,11,6,107.5,265.3,1
79,87,37.9,49,32,141,11,2026-03-22 11:36:00,11,6,102.0,150.9,1
84,87,38.7,74,83,598,15,2026-03-22 11:37:00,11,6,132.7,292.1,1
78,86,37.1,76,41,521,41,2026-03-22 11:38:00,11,6,116.2,245.1,1
103,87,36.5,38,57,140,47,2026-03-22 11:39:00,11,6,144.5,159.9,1
82,94,36.3,37,59,320,32,2026-03-22 11:40:00,11,6,113.7,196.4,1
83,92,36.5,60,95,181,17,2026-03-22 11:41:00,11,6,131.0,205.7,1
72,99,39.0,67,72,319,60,2026-03-22 11:42:00,11,6,113.1,225.7,1
60,87,36.9,37,30,400,50,2026-03-22 11:43:00,11,6,97.5,193.3,1
98,86,35.5,83,58,358,16,2026-03-22 11:44:00,11,6,133.2,224.7,1
91,92,38.1,41,87,251,77,2026-03-22 11:45:00,11,6,151.4,207.8,1
94,99,36.4,60,80,352,66,2026-03-22 11:46:00,11,6,136.5,229.2,1
87,91,36.4,76,95,154,25,2026-03-22 11:47:00,11,6,138.1,208.1,1
69,88,38.3,87,74,485,73,2026-03-22 11:48:00,11,6,132.1,268.9,1
78,94,36.8,58,43,172,76,2026-03-22 11:49:00,11,6,115.7,167.1,1
79,88,36.5,89,47,543,64,2026-03-22 11:50:00,11,6,123.9,259.0,1
102,95,36.1,70,64,398,66,2026-03-22 11:51:00,11,6,140.9,231.6,1
94,93,38.9,53,41,365,22,2026-03-22 11:52:00,11,6,112.8,206.0,1
128,95,36.6,76,82,354,26,2026-03-22 11:53:00,11,6,158.7,239.4,1
63,86,37.1,59,96,106,28,2026-03-22 11:54:00,11,6,127.8,192.1,1
102,89,40.4,43,93,376,52,2026-03-22 11:55:00,11,6,160.2,242.6,1
129,94,40.0,40,67,193,30,2026-03-22 11:56:00,11,6,154.7,185.5,1
91,98,35.7,36,91,472,6,2026-03-22 11:57:00,11,6,123.1,247.5,1
94,86,39.2,66,98,133,63,2026-03-22 11:58:00,11,6,164.1,206.6,1
117,97,37.1,71,58,418,20,2026-03-22 11:59:00,11,6,133.1,233.9,1
83,95,36.9,83,42,358,79,2026-03-22 12:00:00,12,6,118.6,216.3,1
95,96,37.5,72,32,111,23,2026-03-22 12:01:00,12,6,104.9,155.6,1
64,95,36.5,63,48,345,75,2026-03-22 12:02:00,12,6,105.2,207.1,1
75,90,37.4,82,36,576,58,2026-03-22 12:03:00,12,6,110.4,256.2,1
90,89,39.5,45,45,185,45,2026-03-22 12:04:00,12,6,124.5,170.0,1
128,90,38.5,44,95,141,6,2026-03-22 12:05:00,12,6,166.7,193.7,1
60,92,37.9,55,44,299,48,2026-03-22 12:06:00,12,6,96.4,193.9,1
102,94,37.1,48,44,439,59,2026-03-22 12:07:00,12,6,130.3,216.8,1
109,86,35.6,47,65,248,8,2026-03-22 12:08:00,12,6,143.1,189.8,1
97,94,36.0,48,90,201,47,2026-03-22 12:09:00,12,6,145.7,199.2,1
78,92,37.7,67,90,143,79,2026-03-22 12:10:00,12,6,143.1,200.5,1
122,96,36.1,50,87,386,50,2026-03-22 12:11:00,12,6,162.1,235.3,1
121,92,39.8,42,47,385,65,2026-03-22 12:12:00,12,6,151.8,210.5,1
82,89,39.8,68,82,465,39,2026-03-22 12:13:00,12,6,134.8,264.0,1
60,89,38.5,72,63,356,63,2026-03-22 12:14:00,12,6,114.9,228.3,1
77,87,40.0,76,82,375,78,2026-03-22 12:15:00,12,6,145.5,250.4,1
61,89,40.5,38,67,577,37,2026-03-22 12:16:00,12,6,109.9,262.3,1
61,95,39.3,82,40,537,33,2026-03-22 12:17:00,12,6,86.2,255.0,1
70,94,37.8,56,78,502,52,2026-03-22 12:18:00,12,6,119.6,258.6,1
127,87,39.6,56,49,399,76,2026-03-22 12:19:00,12,6,168.4,221.3,1
122,91,39.6,62,62,318,15,2026-03-22 12:20:00,12,6,146.6,217.2,1
117,89,36.1,60,74,396,62,2026-03-22 12:21:00,12,6,165.7,233.2,1
73,87,37.5,71,65,548,62,2026-03-22 12:22:00,12,6,129.0,265.6,1
73,99,38.7,83,88,490,22,2026-03-22 12:23:00,12,6,110.5,278.5,1
107,98,37.1,58,44,284,23,2026-03-22 12:24:00,12,6,117.5,190.8,1
79,87,37.0,73,30,467,66,2026-03-22 12:25:00,12,6,117.5,224.9,1
68,91,36.3,46,52,599,9,2026-03-22 12:26:00,12,6,96.6,251.8,1
96,97,36.9,39,62,447,50,2026-03-22 12:27:00,12,6,127.3,226.1,1
76,93,39.6,73,99,167,25,2026-03-22 12:28:00,12,6,128.3,218.4,1
64,95,38.9,63,94,459,51,2026-03-22 12:29:00,12,6,121.0,266.9,1
61,89,39.0,70,40,395,7,2026-03-22 12:30:00,12,6,87.4,220.0,1
112,98,39.0,71,62,190,61,2026-03-22 12:31:00,12,6,141.9,194.9,1
96,98,37.9,72,70,467,21,2026-03-22 12:32:00,12,6,121.1,254.2,1
73,96,38.0,57,93,566,48,2026-03-22 12:33:00,12,6,125.3,282.8,1
80,90,39.6,89,70,533,8,2026-03-22 12:34:00,12,6,116.4,279.3,1
111,93,39.6,58,95,366,17,2026-03-22 12:35:00,12,6,151.9,247.9,1
92,87,38.4,42,97,153,59,2026-03-22 12:36:00,12,6,159.3,196.3,1
104,99,36.4,36,32,470,55,2026-03-22 12:37:00,12,6,117.2,207.2,1
107,87,35.5,31,49,168,18,2026-03-22 12:38:00,12,6,135.0,154.4,1
113,94,36.2,48,83,190,34,2026-03-22 12:39:00,12,6,151.1,192.5,1
99,90,38.8,56,86,450,50,2026-03-22 12:40:00,12,6,152.2,255.8,1
70,94,38.6,44,44,103,42,2026-03-22 12:41:00,12,6,99.6,150.6,1
84,98,40.4,65,82,265,25,2026-03-22 12:42:00,12,6,118.7,223.7,1
128,91,35.9,42,83,487,69,2026-03-22 12:43:00,12,6,178.1,248.3,1
125,95,36.8,56,52,222,10,2026-03-22 12:44:00,12,6,136.5,182.4,1
127,86,37.2,79,54,320,48,2026-03-22 12:45:00,12,6,164.0,215.7,1
75,89,36.2,57,72,343,5,2026-03-22 12:46:00,12,6,114.0,219.9,1
67,98,40.3,31,39,527,42,2026-03-22 12:47:00,12,6,88.7,228.8,1
108,91,37.5,64,64,549,8,2026-03-22 12:48:00,12,6,134.3,261.6,1
94,96,37.7,76,54,333,15,2026-03-22 12:49:00,12,6,112.7,217.8,1
104,96,35.6,71,70,460,70,2026-03-22 12:50:00,12,6,145.2,247.7,1
64,90,36.8,73,72,123,54,2026-03-22 12:51:00,12,6,118.4,185.1,1
97,85,40.2,33,37,292,13,2026-03-22 12:52:00,12,6,122.5,181.2,1
97,93,36.1,87,92,333,52,2026-03-22 12:53:00,12,6,149.7,246.7,1
64,98,35.6,81,55,506,77,2026-03-22 12:54:00,12,6,104.8,251.4,1
81,95,38.6,55,72,376,44,2026-03-22 12:55:00,12,6,121.5,230.3,1
82,87,38.3,75,78,274,27,2026-03-22 12:56:00,12,6,132.2,223.5,1
85,91,39.2,73,48,564,54,2026-03-22 12:57:00,12,6,121.7,261.3,1
64,88,35.9,60,95,241,5,2026-03-22 12:58:00,12,6,118.2,216.5,1
64,98,39.8,48,99,415,38,2026-03-22 12:59:00,12,6,115.1,255.9,1
68,98,36.6,68,43,144,51,2026-03-22 13:00:00,13,6,94.2,166.1,1
112,99,38.6,64,54,204,50,2026-03-22 13:01:00,13,6,133.1,187.8,1
113,91,39.6,46,64,222,40,2026-03-22 13:02:00,13,6,147.9,191.4,1
106,94,39.9,59,70,144,32,2026-03-22 13:03:00,13,6,138.4,187.1,1
70,89,36.5,82,73,204,59,2026-03-22 13:04:00,13,6,126.7,205.9,1
76,85,37.9,44,88,379,54,2026-03-22 13:05:00,13,6,143.5,235.2,1
60,92,40.0,81,58,409,6,2026-03-22 13:06:00,13,6,90.8,242.9,1
98,94,40.4,33,77,226,65,2026-03-22 13:07:00,13,6,145.4,196.4,1
110,87,39.8,49,33,293,24,2026-03-22 13:08:00,13,6,131.2,185.8,1
70,98,38.7,34,82,534,55,2026-03-22 13:09:00,13,6,116.5,258.6,1
109,87,38.8,78,37,178,41,2026-03-22 13:10:00,13,6,137.5,178.1,1
61,89,36.7,57,40,345,65,2026-03-22 13:11:00,13,6,104.8,198.9,1
126,96,37.5,53,96,543,50,2026-03-22 13:12:00,13,6,169.8,277.3,1
67,98,37.3,84,76,312,34,2026-03-22 13:13:00,13,6,104.8,232.2,1
108,90,37.8,48,80,166,11,2026-03-22 13:14:00,13,6,144.7,188.8,1
68,90,37.7,51,76,450,64,2026-03-22 13:15:00,13,6,126.6,244.1,1
96,96,36.9,31,44,284,57,2026-03-22 13:16:00,13,6,121.9,176.9,1
89,97,39.0,60,71,182,74,2026-03-22 13:17:00,13,6,133.4,194.1,1
78,96,36.3,56,38,264,57,2026-03-22 13:18:00,13,6,104.5,180.0,1
84,93,38.1,32,54,167,19,2026-03-22 13:19:00,13,6,110.4,163.4,1
111,85,36.2,64,32,401,76,2026-03-22 13:20:00,13,6,150.1,207.0,1
82,96,40.2,53,72,333,46,2026-03-22 13:21:00,13,6,121.4,223.9,1
65,87,40.0,30,86,193,69,2026-03-22 13:22:00,13,6,135.2,193.8,1
114,90,35.7,67,63,447,11,2026-03-22 13:23:00,13,6,141.0,238.4,1
94,87,38.1,51,80,240,10,2026-03-22 13:24:00,13,6,137.7,205.7,1
107,98,38.7,57,46,383,73,2026-03-22 13:25:00,13,6,133.5,214.7,1
126,89,39.6,39,87,312,75,2026-03-22 13:26:00,13,6,183.3,222.0,1
114,89,40.0,82,86,466,72,2026-03-22 13:27:00,13,6,172.3,274.4,1
121,99,39.7,44,48,467,43,2026-03-22 13:28:00,13,6,135.2,228.4,1
71,87,38.5,80,98,529,43,2026-03-22 13:29:00,13,6,138.2,291.4,1
117,89,38.1,41,94,124,32,2026-03-22 13:30:00,13,6,166.7,187.3,1
116,95,39.7,54,97,182,29,2026-03-22 13:31:00,13,6,157.5,210.7,1
105,86,37.8,71,50,455,60,2026-03-22 13:32:00,13,6,148.0,237.1,1
116,94,38.0,37,32,515,32,2026-03-22 13:33:00,13,6,127.4,219.9,1
90,95,36.7,81,68,283,35,2026-03-22 13:34:00,13,6,124.0,218.1,1
106,94,37.7,65,43,390,17,2026-03-22 13:35:00,13,6,120.4,216.0,1
120,88,37.2,72,99,270,14,2026-03-22 13:36:00,13,6,167.7,233.7,1
84,94,36.7,64,78,403,75,2026-03-22 13:37:00,13,6,137.7,240.6,1
69,86,38.8,71,63,473,30,2026-03-22 13:38:00,13,6,116.7,251.8,1
72,89,40.0,82,38,489,61,2026-03-22 13:39:00,13,6,111.4,245.4,1
96,92,39.8,74,74,302,50,2026-03-22 13:40:00,13,6,140.8,228.8,1
88,86,39.1,82,59,365,5,2026-03-22 13:41:00,13,6,122.4,233.5,1
127,98,35.5,60,73,126,53,2026-03-22 13:42:00,13,6,157.0,177.3,1
104,94,40.4,36,59,430,71,2026-03-22 13:43:00,13,6,143.0,226.1,1
68,92,38.6,87,43,116,24,2026-03-22 13:44:00,13,6,95.1,174.0,1
80,93,39.5,33,40,105,27,2026-03-22 13:45:00,13,6,102.6,144.5,1
90,91,38.7,44,52,580,30,2026-03-22 13:46:00,13,6,120.5,251.8,1
104,90,40.4,72,48,498,71,2026-03-22 13:47:00,13,6,143.5,250.0,1
91,97,37.5,45,46,238,44,2026-03-22 13:48:00,13,6,113.5,177.3,1
96,87,36.4,51,53,336,34,2026-03-22 13:49:00,13,6,133.0,202.6,1
104,99,39.3,40,81,394,14,2026-03-22 13:50:00,13,6,129.4,234.1,1
83,95,36.9,31,64,266,40,2026-03-22 13:51:00,13,6,117.9,187.3,1
87,98,36.2,42,91,478,73,2026-03-22 13:52:00,13,6,140.0,252.7,1
103,87,39.3,79,61,129,73,2026-03-22 13:53:00,13,6,154.3,186.6,1
73,95,37.8,51,62,111,29,2026-03-22 13:54:00,13,6,105.6,166.7,1
125,96,37.7,49,35,544,42,2026-03-22 13:55:00,13,6,136.1,233.2,1
123,91,38.8,51,66,400,45,2026-03-22 13:56:00,13,6,158.4,229.3,1
63,85,36.2,79,45,131,28,2026-03-22 13:57:00,13,6,103.8,169.6,1
122,86,39.2,72,82,257,19,2026-03-22 13:58:00,13,6,165.3,223.2,1
80,93,40.4,60,98,437,75,2026-03-22 13:59:00,13,6,146.0,266.8,1
102,91,38.1,59,46,315,59,2026-03-22 14:00:00,14,6,135.8,200.9,1
104,99,38.3,34,70,237,44,2026-03-22 14:01:00,14,6,132.9,190.0,1
84,94,39.9,59,46,390,28,2026-03-22 14:02:00,14,6,107.6,219.5,1
72,99,40.1,64,86,252,5,2026-03-22 14:03:00,14,6,103.6,222.8,1
109,96,40.3,31,31,477,75,2026-03-22 14:04:00,14,6,131.2,213.2,1
83,94,37.8,54,48,359,49,2026-03-22 14:05:00,14,6,114.1,208.0,1
95,98,39.6,32,66,581,29,2026-03-22 14:06:00,14,6,120.7,257.6,1
66,85,35.8,39,41,361,38,2026-03-22 14:07:00,14,6,107.2,192.0,1
110,88,36.7,72,86,329,57,2026-03-22 14:08:00,14,6,166.1,235.4,1
84,96,38.7,61,41,456,28,2026-03-22 14:09:00,14,6,102.1,227.8,1
120,96,38.3,56,70,292,43,2026-03-22 14:10:00,14,6,149.9,212.0,1
99,89,37.1,79,97,528,8,2026-03-22 14:11:00,14,6,146.6,287.2,1
105,98,36.3,40,43,565,44,2026-03-22 14:12:00,14,6,121.7,235.7,1
75,90,37.0,61,68,235,17,2026-03-22 14:13:00,14,6,114.1,199.1,1
61,97,38.3,61,94,559,67,2026-03-22 14:14:00,14,6,120.4,284.7,1
110,89,37.7,55,41,542,18,2026-03-22 14:15:00,14,6,130.4,240.0,1
72,92,40.2,51,78,520,10,2026-03-22 14:16:00,14,6,111.6,264.5,1
89,91,36.9,70,99,470,21,2026-03-22 14:17:00,14,6,140.5,272.1,1
80,93,38.7,50,95,290,50,2026-03-22 14:18:00,14,6,137.0,226.9,1
118,86,38.9,47,99,336,71,2026-03-22 14:19:00,14,6,186.2,237.8,1
126,92,35.9,68,59,588,23,2026-03-22 14:20:00,14,6,149.2,264.7,1
80,94,39.2,65,69,438,11,2026-03-22 14:21:00,14,6,110.8,246.8,1
91,88,40.4,46,49,178,55,2026-03-22 14:22:00,14,6,131.8,173.7,1
72,90,37.4,67,70,276,44,2026-03-22 14:23:00,14,6,120.8,212.5,1
72,97,39.0,62,31,560,5,2026-03-22 14:24:00,14,6,79.1,242.7,1
62,88,36.2,50,97,113,70,2026-03-22 14:25:00,14,6,137.1,187.9,1
61,88,36.3,63,75,205,27,2026-03-22 14:26:00,14,6,112.4,197.6,1
100,86,38.6,73,51,299,79,2026-03-22 14:27:00,14,6,150.2,209.2,1
123,96,36.1,60,36,215,52,2026-03-22 14:28:00,14,6,138.0,170.4,1
91,88,37.2,30,31,494,45,2026-03-22 14:29:00,14,6,119.8,209.9,1
101,88,36.4,50,39,449,69,2026-03-22 14:30:00,14,6,139.0,214.9,1
105,89,36.1,50,30,142,34,2026-03-22 14:31:00,14,6,125.7,146.6,1
120,96,35.7,64,93,235,48,2026-03-22 14:32:00,14,6,162.9,215.5,1
111,89,38.5,39,67,369,35,2026-03-22 14:33:00,14,6,149.3,217.2,1
105,85,35.6,70,45,412,70,2026-03-22 14:34:00,14,6,150.0,220.1,1
108,87,36.4,31,96,482,35,2026-03-22 14:35:00,14,6,164.4,251.9,1
121,96,39.4,88,70,141,38,2026-03-22 14:36:00,14,6,149.2,200.0,1
115,96,37.9,33,53,332,38,2026-03-22 14:37:00,14,6,135.9,195.8,1
119,87,37.6,56,93,283,65,2026-03-22 14:38:00,14,6,180.7,224.9,1
126,89,37.2,81,69,537,66,2026-03-22 14:39:00,14,6,171.6,270.6,1
73,94,39.7,88,36,368,66,2026-03-22 14:40:00,14,6,105.2,222.2,1
72,88,37.5,37,63,597,66,2026-03-22 14:41:00,14,6,126.9,257.0,1
109,98,38.0,31,92,129,5,2026-03-22 14:42:00,14,6,137.7,181.7,1
115,99,38.6,43,69,267,20,2026-03-22 14:43:00,14,6,134.0,200.4,1
112,92,36.9,62,63,415,57,2026-03-22 14:44:00,14,6,150.2,231.9,1
76,94,38.6,79,69,508,19,2026-03-22 14:45:00,14,6,110.0,266.6,1
114,91,39.4,45,74,305,26,2026-03-22 14:46:00,14,6,149.5,214.1,1
81,87,37.8,80,33,103,42,2026-03-22 14:47:00,14,6,113.4,159.3,1
123,93,40.1,39,99,557,15,2026-03-22 14:48:00,14,6,162.9,280.4,1
109,86,35.8,42,67,394,75,2026-03-22 14:49:00,14,6,164.2,218.3,1
123,94,36.0,45,93,352,76,2026-03-22 14:50:00,14,6,176.7,230.0,1
122,91,40.2,75,69,367,28,2026-03-22 14:51:00,14,6,154.0,239.6,1
127,96,40.4,40,59,545,74,2026-03-22 14:52:00,14,6,159.3,251.1,1
80,96,37.3,64,58,225,7,2026-03-22 14:53:00,14,6,101.1,192.2,1
80,96,40.2,81,97,172,66,2026-03-22 14:54:00,14,6,138.3,223.2,1
61,93,37.4,33,71,566,9,2026-03-22 14:55:00,14,6,97.5,254.2,1
119,89,39.5,61,62,174,20,2026-03-22 14:56:00,14,6,148.7,187.7,1
111,87,36.6,37,86,364,14,2026-03-22 14:57:00,14,6,155.5,224.7,1
99,89,39.9,79,78,456,37,2026-03-22 14:58:00,14,6,145.8,265.1,1
116,94,37.6,40,92,109,31,2026-03-22 14:59:00,14,6,157.1,181.4,1
95,86,40.2,49,46,554,38,2026-03-22 15:00:00,15,6,131.4,247.9,1
62,94,38.6,49,94,111,59,2026-03-22 15:01:00,15,6,123.3,189.7,1
109,91,38.8,57,96,219,60,2026-03-22 15:02:00,15,6,166.7,217.1,1
115,87,37.5,51,99,337,50,2026-03-22 15:03:00,15,6,176.0,237.2,1
84,90,36.3,58,31,595,36,2026-03-22 15:04:00,15,6,108.5,242.3,1
61,96,40.0,56,93,265,5,2026-03-22 15:05:00,15,6,102.8,226.1,1
86,86,40.1,89,87,192,13,2026-03-22 15:06:00,15,6,137.2,224.0,1
121,97,40.2,46,52,161,17,2026-03-22 15:07:00,15,6,132.4,172.0,1
67,94,39.8,31,81,524,53,2026-03-22 15:08:00,15,6,119.0,256.6,1
78,92,38.8,34,91,326,67,2026-03-22 15:09:00,15,6,140.0,223.5,1
77,97,38.6,55,99,470,26,2026-03-22 15:10:00,15,6,123.4,268.0,1
95,97,40.4,47,37,137,79,2026-03-22 15:11:00,15,6,122.7,157.6,1
73,98,37.2,84,60,438,53,2026-03-22 15:12:00,15,6,107.3,246.0,1
76,91,39.3,51,91,289,27,2026-03-22 15:13:00,15,6,127.9,225.6,1
120,99,40.0,75,49,575,59,2026-03-22 15:14:00,15,6,139.7,266.8,1
127,94,39.7,75,91,328,31,2026-03-22 15:15:00,15,6,165.4,246.2,1
120,96,39.9,60,99,369,49,2026-03-22 15:16:00,15,6,166.2,252.9,1
120,96,36.0,38,59,119,63,2026-03-22 15:17:00,15,6,150.4,156.1,1
87,86,39.1,77,84,341,59,2026-03-22 15:18:00,15,6,150.3,243.7,1
129,95,38.0,32,55,556,52,2026-03-22 15:19:00,15,6,153.8,241.7,1
63,85,38.6,74,47,383,41,2026-03-22 15:20:00,15,6,108.7,223.7,1
114,87,39.8,69,77,327,32,2026-03-22 15:21:00,15,6,158.8,233.4,1
76,93,40.3,31,64,222,41,2026-03-22 15:22:00,15,6,115.6,185.3,1
